               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10318,            0.032949,            0.045209,           0.0011296,            0.062265,           0.0006565,          0.00019405,            0.077086,             0.03453,            0.040211,              0.0883,              0.0013,              0.0013
                   1,            0.069358,            0.034442,            0.038864,           0.0029999,             0.31704,            0.020857,           0.0066561,            0.064608,            0.032031,            0.035746,            0.075433,           0.0024327,           0.0024327
                   2,            0.062524,            0.031485,            0.035214,             0.28483,             0.11607,            0.036111,           0.0080456,            0.067765,            0.026536,            0.032182,            0.062288,           0.0032882,           0.0032882
                   3,            0.058894,            0.028803,            0.032131,             0.71905,             0.30208,             0.31132,             0.10202,            0.064794,            0.024778,            0.030852,            0.048867,           0.0038665,           0.0038665
                   4,            0.059085,            0.027071,            0.030523,             0.30692,              0.3237,             0.14857,            0.046972,            0.063311,            0.024029,             0.02841,            0.035168,           0.0041676,           0.0041676
                   5,            0.055258,             0.02565,            0.027502,             0.34701,             0.21022,             0.29619,              0.1026,            0.057877,            0.023387,            0.025172,            0.021192,           0.0041915,           0.0041915
                   6,            0.053371,            0.023695,             0.02384,             0.55972,             0.25247,             0.36288,            0.099895,            0.058702,            0.021729,            0.022485,           0.0069382,           0.0039382,           0.0039382
                   7,            0.051006,            0.023133,            0.021131,             0.49328,             0.46774,             0.51171,             0.20009,             0.05667,            0.020805,            0.020246,             0.00307,             0.00307,             0.00307
                   8,            0.050458,            0.021232,            0.019366,             0.52193,             0.55247,             0.49421,             0.19511,            0.055143,            0.019517,             0.01868,             0.00307,             0.00307,             0.00307
