               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086606,            0.031726,            0.049227,           0.0029269,             0.77317,            0.014643,           0.0041526,            0.068926,            0.027621,            0.044006,               0.073,               0.003,               0.003
                   1,            0.066529,            0.025969,            0.045933,           0.0028776,             0.77826,            0.080439,            0.023466,            0.066725,            0.020639,            0.039724,            0.044979,           0.0059792,           0.0059792
                   2,            0.064044,            0.021701,            0.042452,             0.39745,               0.339,             0.18166,            0.057491,            0.059461,            0.018994,            0.036231,            0.016836,           0.0088357,           0.0088357
                   3,            0.062613,            0.018951,            0.039151,             0.24508,             0.15726,             0.12398,             0.04487,            0.068518,            0.015436,             0.03804,            0.009406,            0.009406,            0.009406
                   4,            0.058292,            0.017595,            0.038121,             0.36495,              0.4601,             0.43756,             0.15308,            0.052493,            0.016588,            0.035178,            0.009406,            0.009406,            0.009406
                   5,            0.052847,            0.016214,             0.03413,              0.2605,             0.46076,             0.39496,             0.14792,            0.053127,            0.014148,            0.028912,            0.009208,            0.009208,            0.009208
                   6,            0.054569,            0.014742,            0.031014,             0.25942,             0.56509,              0.3234,             0.14154,             0.06077,            0.012868,            0.026495,             0.00901,             0.00901,             0.00901
                   7,            0.053198,            0.014261,            0.026175,              0.2401,             0.59402,             0.36323,             0.09722,            0.067816,             0.01237,            0.026119,            0.008812,            0.008812,            0.008812
                   8,            0.054672,            0.013075,            0.025517,             0.50872,             0.53405,             0.59944,             0.25678,            0.053994,            0.011632,            0.022948,            0.008614,            0.008614,            0.008614
                   9,            0.054012,            0.012749,            0.019929,             0.42197,             0.82429,             0.59979,             0.19747,            0.060247,            0.012227,            0.022111,            0.008416,            0.008416,            0.008416
                  10,            0.056962,            0.012608,            0.017343,             0.18343,              0.6409,             0.36816,            0.095578,            0.063675,            0.011954,            0.020279,            0.008218,            0.008218,            0.008218
                  11,            0.053327,            0.012189,            0.015117,             0.39683,             0.83958,             0.64026,             0.28545,            0.048736,            0.012268,            0.014863,             0.00802,             0.00802,             0.00802
                  12,            0.052023,            0.011514,            0.011687,             0.72582,             0.57133,             0.60947,             0.23228,            0.056799,            0.012051,             0.01388,            0.007822,            0.007822,            0.007822
                  13,            0.052868,            0.011268,            0.011323,             0.67715,             0.46088,             0.52586,             0.26597,             0.05359,              0.0109,            0.023612,            0.007624,            0.007624,            0.007624
                  14,            0.052845,            0.011189,             0.01045,             0.51841,             0.47103,             0.50114,             0.20205,            0.065386,            0.010687,            0.015725,            0.007426,            0.007426,            0.007426
                  15,            0.062454,            0.010917,           0.0088246,             0.52566,             0.81695,             0.72997,             0.30868,            0.054208,            0.010644,             0.01866,            0.007228,            0.007228,            0.007228
                  16,            0.055461,            0.010726,            0.013368,             0.36442,              0.8758,             0.60862,             0.27036,            0.057858,           0.0097517,            0.015499,             0.00703,             0.00703,             0.00703
                  17,            0.054251,            0.011018,            0.010612,             0.70798,             0.62369,             0.65005,             0.35008,              0.0487,           0.0095803,            0.016458,            0.006832,            0.006832,            0.006832
                  18,            0.047812,            0.010765,            0.010935,             0.44271,             0.85771,             0.74238,             0.33011,            0.052984,            0.009592,            0.010614,            0.006634,            0.006634,            0.006634
                  19,            0.050208,            0.010614,           0.0080991,             0.41562,             0.94621,             0.74357,             0.32808,            0.047855,           0.0089592,            0.011241,            0.006436,            0.006436,            0.006436
                  20,            0.047256,           0.0096566,           0.0078736,             0.55304,             0.88309,              0.7383,              0.3759,            0.049805,           0.0085119,           0.0096327,            0.006238,            0.006238,            0.006238
                  21,            0.047435,           0.0093901,           0.0070397,             0.52926,             0.89842,             0.84669,             0.46785,             0.04712,           0.0081273,           0.0092492,             0.00604,             0.00604,             0.00604
