               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093866,            0.032113,             0.04332,           0.0028486,             0.68173,            0.012091,           0.0031384,            0.069521,            0.031777,            0.036832,               0.082,               0.002,               0.002
                   1,            0.064987,            0.031089,              0.0378,           0.0032258,             0.81563,            0.098956,            0.028154,            0.059525,            0.027513,            0.033352,            0.063019,           0.0040188,           0.0040188
                   2,            0.061026,            0.027104,            0.033913,             0.58243,                0.15,             0.13318,            0.039945,              0.0561,            0.023866,            0.029994,            0.043954,           0.0059545,           0.0059545
                   3,            0.061174,            0.023653,             0.02955,              0.2983,             0.21576,            0.074112,            0.022542,            0.059528,            0.019881,             0.02525,            0.024807,            0.007807,            0.007807
                   4,            0.060126,            0.021499,            0.025571,             0.58796,             0.17857,              0.2106,            0.063067,            0.060304,            0.017808,            0.022038,            0.009208,            0.009208,            0.009208
                   5,            0.058267,             0.02009,            0.022879,             0.41432,             0.58981,             0.35789,             0.14643,            0.059709,            0.018836,            0.021224,            0.009208,            0.009208,            0.009208
                   6,            0.056036,            0.017946,            0.019256,             0.28852,             0.58965,             0.48779,             0.17666,            0.060529,            0.015986,            0.016744,             0.00901,             0.00901,             0.00901
                   7,            0.057373,            0.015943,            0.013894,             0.23642,             0.59951,              0.4087,             0.15165,            0.068608,             0.01456,            0.019048,            0.008812,            0.008812,            0.008812
                   8,              0.0558,            0.015382,            0.013089,             0.31911,             0.79312,             0.60254,             0.26941,              0.0547,            0.014503,            0.012763,            0.008614,            0.008614,            0.008614
                   9,            0.052989,            0.014859,            0.011802,             0.55226,             0.87241,             0.84398,             0.41658,            0.051387,             0.01565,            0.007241,            0.008416,            0.008416,            0.008416
                  10,             0.05009,            0.013437,             0.01033,             0.48592,             0.58066,             0.60841,             0.22123,             0.05103,            0.014143,           0.0094171,            0.008218,            0.008218,            0.008218
                  11,            0.053126,            0.013887,            0.010201,             0.60356,             0.90912,             0.85891,             0.44418,            0.046153,            0.012667,           0.0054569,             0.00802,             0.00802,             0.00802
                  12,             0.04894,            0.012483,           0.0074707,              0.5417,             0.91987,             0.78453,             0.38561,            0.053091,            0.011976,           0.0060903,            0.007822,            0.007822,            0.007822
                  13,            0.048726,            0.012057,           0.0068087,             0.46532,             0.81232,              0.6726,             0.31852,            0.055773,             0.01159,           0.0068474,            0.007624,            0.007624,            0.007624
                  14,            0.050495,             0.01198,           0.0064693,             0.60313,             0.71407,             0.69318,             0.31796,            0.043944,            0.010796,           0.0072796,            0.007426,            0.007426,            0.007426
                  15,             0.04502,            0.011854,           0.0073452,             0.61373,             0.84944,             0.78689,             0.41624,            0.048186,            0.010856,           0.0067894,            0.007228,            0.007228,            0.007228
                  16,            0.042527,            0.011757,           0.0063002,             0.88595,             0.94261,             0.97604,             0.55742,            0.042213,            0.010003,            0.005593,             0.00703,             0.00703,             0.00703
                  17,             0.04097,            0.010868,           0.0043712,             0.65314,             0.88843,              0.8495,              0.4258,             0.04272,           0.0099475,           0.0040492,            0.006832,            0.006832,            0.006832
                  18,            0.040417,            0.010478,           0.0046948,              0.5929,             0.88586,             0.73834,             0.43547,            0.038382,           0.0096418,           0.0041343,            0.006634,            0.006634,            0.006634
                  19,            0.041937,            0.010394,           0.0046613,             0.63756,             0.97709,             0.91582,             0.56971,            0.043315,            0.009581,           0.0037915,            0.006436,            0.006436,            0.006436
                  20,            0.039975,            0.010214,           0.0052516,             0.91831,             0.92414,             0.96795,             0.59026,            0.040489,           0.0091919,            0.004163,            0.006238,            0.006238,            0.006238
                  21,            0.036382,            0.010438,           0.0053869,             0.93325,             0.90272,             0.98866,             0.63543,            0.035558,           0.0089592,           0.0043594,             0.00604,             0.00604,             0.00604
                  22,            0.037055,           0.0097819,           0.0050917,             0.75933,             0.95985,              0.7993,             0.53782,            0.033807,            0.008936,           0.0032819,            0.005842,            0.005842,            0.005842
                  23,            0.035695,           0.0095105,           0.0038445,             0.71356,             0.92414,             0.83016,             0.47436,            0.036498,           0.0092092,           0.0024533,            0.005644,            0.005644,            0.005644
