               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093866,            0.032113,             0.04332,           0.0026921,             0.64007,            0.010599,           0.0028214,            0.069521,            0.031777,            0.036832,               0.082,               0.002,               0.002
                   1,            0.064722,            0.031234,            0.037894,           0.0032693,             0.89301,            0.091467,            0.016942,            0.061425,            0.027127,              0.0337,            0.062694,           0.0036941,           0.0036941
                   2,            0.059366,             0.02763,            0.033896,             0.56629,             0.15148,            0.065976,            0.013032,            0.060401,             0.02227,             0.02997,            0.042972,           0.0049724,           0.0049724
                   3,            0.059301,            0.024213,            0.029915,             0.28351,             0.30345,             0.12618,            0.034634,            0.066291,            0.018386,            0.027569,            0.022835,           0.0058349,           0.0058349
                   4,            0.056484,            0.021894,            0.026942,             0.33211,             0.35517,             0.40321,              0.1606,             0.05348,            0.019361,            0.024076,             0.00604,             0.00604,             0.00604
                   5,            0.055148,            0.020788,             0.02343,             0.46148,              0.3234,             0.45466,             0.18553,            0.048875,            0.017839,            0.020895,             0.00604,             0.00604,             0.00604
                   6,            0.054078,            0.018779,            0.019169,             0.43923,             0.79647,             0.68316,             0.26631,            0.046644,            0.016418,            0.016215,             0.00505,             0.00505,             0.00505
                   7,            0.050286,            0.017741,             0.01699,             0.49735,             0.86256,             0.80305,             0.33901,            0.048494,            0.015212,            0.014832,             0.00406,             0.00406,             0.00406
                   8,            0.043069,            0.016679,             0.01521,             0.60716,             0.83547,             0.83987,             0.43663,            0.041101,            0.014308,            0.012057,             0.00307,             0.00307,             0.00307
                   9,             0.04122,            0.015914,            0.012205,             0.72529,             0.82445,             0.89241,              0.5103,            0.037416,            0.013528,            0.010075,             0.00208,             0.00208,             0.00208
